district,mean_spei,date
Gegharkunik,-0.8868116000119377,2000-10-11
Vayots Dzor,-0.7202852293848991,2000-10-11
Syunik,-0.5323730050341079,2000-10-11
Ararat,-1.21487018736926,2000-10-11
Aragatsotn,-1.5682120223840077,2000-10-11
Armavir,-1.681805948416392,2000-10-11
Kotayk,-1.3717036813497543,2000-10-11
Erevan,-1.730413794517517,2000-10-11
Tavush,0.3755950856745282,2000-10-21
Lori,-0.23113430893191925,2000-10-21
Shirak,-0.4648553803563118,2000-10-21
Gegharkunik,0.4920039702864254,2000-10-21
Vayots Dzor,0.6887562125921249,2000-10-21
Syunik,0.6892311353432504,2000-10-21
Ararat,-0.099363062530756,2000-10-21
Aragatsotn,-0.5165644387404124,2000-10-21
Armavir,-0.6529996196428934,2000-10-21
Kotayk,-0.09921211302280426,2000-10-21
Erevan,-0.45515076816082,2000-10-21
Tavush,0.37488247314468026,2000-11-01
Lori,-0.34679469953362757,2000-11-01
Shirak,-0.597531515531815,2000-11-01
Gegharkunik,0.10739704068092738,2000-11-01
Vayots Dzor,0.2735379538498819,2000-11-01
Syunik,0.6136948780009621,2000-11-01
Ararat,-0.634322658858516,2000-11-01
Aragatsotn,-0.730573445558548,2000-11-01
Armavir,-0.8352444668610891,2000-11-01
Kotayk,-0.5872232869267464,2000-11-01
Erevan,-0.834663987159729,2000-11-01
Tavush,0.4374112971127033,2000-11-11
Lori,-0.22804934495630172,2000-11-11
Shirak,-0.47407941713642615,2000-11-11
Gegharkunik,0.2188620253959123,2000-11-11
Vayots Dzor,0.16903067659586668,2000-11-11
Syunik,0.47637732483838735,2000-11-11
Ararat,-0.6347204209728674,2000-11-11
Aragatsotn,-0.6731453910470009,2000-11-11
Armavir,-0.7846006949742635,2000-11-11
Kotayk,-0.5167248904705047,2000-11-11
Erevan,-0.8166016638278961,2000-11-11
Tavush,0.43671022134367377,2000-11-21
Lori,-0.39237183790940505,2000-11-21
Shirak,-0.8556979757088882,2000-11-21
Gegharkunik,0.066841782645925,2000-11-21
Vayots Dzor,-0.18985102651640773,2000-11-21
Syunik,0.29433928057551384,2000-11-21
Ararat,-0.8489590151743456,2000-11-21
Aragatsotn,-0.9337637523810068,2000-11-21
Armavir,-1.0160003900527954,2000-11-21
Kotayk,-0.7084683328866959,2000-11-21
Erevan,-1.0546390414237976,2000-11-21
Tavush,0.40136487657825154,2000-12-01
Lori,-0.5269624977730788,2000-12-01
Shirak,-1.0401983582056487,2000-12-01
Gegharkunik,-0.38721063377006965,2000-12-01
Vayots Dzor,-0.8087240941822529,2000-12-01
Syunik,-0.25621317954439865,2000-12-01
Ararat,-1.1895801533352246,2000-12-01
Aragatsotn,-1.1754154115915298,2000-12-01
Armavir,-1.273920436700185,2000-12-01
Kotayk,-0.97090083360672,2000-12-01
Erevan,-1.3166462779045105,2000-12-01
Tavush,0.6461359200378259,2000-12-11
Lori,-0.19183963938401297,2000-12-11
Shirak,-0.6570448571672807,2000-12-11
Gegharkunik,0.05004807495895554,2000-12-11
Vayots Dzor,-0.5693681202828884,2000-12-11
Syunik,-0.027292211981196152,2000-12-11
Ararat,-0.7997036711736158,2000-12-11
Aragatsotn,-0.8495940367380778,2000-12-11
Armavir,-0.9585971732934316,2000-12-11
Kotayk,-0.5608188733458519,2000-12-11
Erevan,-0.9311375319957733,2000-12-11
Tavush,0.5117788432786862,2000-12-21
Lori,-0.3213215169425194,2000-12-21
Shirak,-0.7793659086410816,2000-12-21
Gegharkunik,-0.13148840779767318,2000-12-21
Vayots Dzor,-0.7549818605184555,2000-12-21
Syunik,-0.26141324619713585,2000-12-21
Ararat,-0.8294329832900654,2000-12-21
Aragatsotn,-0.8551953683296839,2000-12-21
Armavir,-0.8813251157601675,2000-12-21
Kotayk,-0.6197794988751412,2000-12-21
Erevan,-0.7628862857818604,2000-12-21
Tavush,0.08012286061421037,2001-01-01
Lori,-0.4956537261605263,2001-01-01
Shirak,-0.8922471885497754,2001-01-01
Gegharkunik,-0.372480925063,2001-01-01
Vayots Dzor,-1.0110515132546425,2001-01-01
Syunik,-0.3763161262399272,2001-01-01
Ararat,-0.9696164943955161,2001-01-01
Aragatsotn,-0.9120099047819773,2001-01-01
Armavir,-0.913483738899231,2001-01-01
Kotayk,-0.7465068578720093,2001-01-01
Erevan,-0.8419408202171326,2001-01-01
Tavush,-0.2273073038086295,2001-01-11
Lori,-0.7582866664116199,2001-01-11
Shirak,-0.9534466450030987,2001-01-11
Gegharkunik,-0.6053919248721179,2001-01-11
Vayots Dzor,-0.9430423825979233,2001-01-11
Syunik,-0.6285194307565689,2001-01-11
Ararat,-0.8370862765745684,2001-01-11
Aragatsotn,-0.9058389017979304,2001-01-11
Armavir,-0.8558624784151713,2001-01-11
Kotayk,-0.7896698951721192,2001-01-11
Erevan,-0.7489254176616669,2001-01-11
Tavush,-0.5924601418276628,2001-01-21
Lori,-1.0873615099833562,2001-01-21
Shirak,-1.4213498739095836,2001-01-21
Gegharkunik,-1.2422558244536905,2001-01-21
Vayots Dzor,-1.5983296036720276,2001-01-21
Syunik,-1.1910088219140704,2001-01-21
Ararat,-1.4448605233972722,2001-01-21
Aragatsotn,-1.4843228260676067,2001-01-21
Armavir,-1.5436662038167317,2001-01-21
Kotayk,-1.3505035877227782,2001-01-21
Erevan,-1.4389072060585022,2001-01-21
Tavush,-1.1496367851893108,2001-02-01
Lori,-1.4684217159564679,2001-02-01
Shirak,-1.7169009905595045,2001-02-01
Gegharkunik,-1.583512593718136,2001-02-01
Vayots Dzor,-1.9183791726827621,2001-02-01
Syunik,-1.5162901125456159,2001-02-01
Ararat,-1.6790279800241643,2001-02-01
Aragatsotn,-1.726816902558009,2001-02-01
Armavir,-1.7597946325937908,2001-02-01
Kotayk,-1.6389015436172485,2001-02-01
Erevan,-1.6998637318611145,2001-02-01
Tavush,-1.2025738457838695,2001-02-11
Lori,-1.424376313502972,2001-02-11
Shirak,-1.6702790810511663,2001-02-11
Gegharkunik,-1.5689594114527983,2001-02-11
Vayots Dzor,-1.8764070719480515,2001-02-11
Syunik,-1.5087251694578874,2001-02-11
Ararat,-1.5436629490418867,2001-02-11
Aragatsotn,-1.6656355361143749,2001-02-11
Armavir,-1.7066093881924946,2001-02-11
Kotayk,-1.5393182635307312,2001-02-11
Erevan,-1.6305346488952637,2001-02-11
Tavush,-1.0603127504388492,2001-02-21
Lori,-1.153144671366765,2001-02-21
Shirak,-1.2988756069770226,2001-02-21
Gegharkunik,-1.1954522623735315,2001-02-21
Vayots Dzor,-1.593670666217804,2001-02-21
Syunik,-1.5132928898459987,2001-02-21
Ararat,-1.2656516270204023,2001-02-21
Aragatsotn,-1.3416849076747894,2001-02-21
Armavir,-1.4796005090077717,2001-02-21
Kotayk,-1.1084593772888183,2001-02-21
Erevan,-1.2927358150482178,2001-02-21
Tavush,-0.8266609410444895,2001-03-01
Lori,-0.6344856940782987,2001-03-01
Shirak,-0.6589167851668137,2001-03-01
Gegharkunik,-0.8232836723327637,2001-03-01
Vayots Dzor,-0.9418443143367767,2001-03-01
Syunik,-1.0262772848731594,2001-03-01
Ararat,-0.8039346499876543,2001-03-01
Aragatsotn,-0.9468373159567515,2001-03-01
Armavir,-1.140328049659729,2001-03-01
Kotayk,-0.7447370111942291,2001-03-01
Erevan,-0.9925488531589508,2001-03-01
Tavush,-1.4942092994848888,2001-03-11
Lori,-1.3048080847813532,2001-03-11
Shirak,-1.2707691742823675,2001-03-11
Gegharkunik,-1.3808893456178553,2001-03-11
Vayots Dzor,-1.385204330086708,2001-03-11
Syunik,-1.3352754178800081,2001-03-11
Ararat,-1.3374507535587659,2001-03-11
Aragatsotn,-1.4255224863688152,2001-03-11
Armavir,-1.5758254726727803,2001-03-11
Kotayk,-1.3498026490211488,2001-03-11
